Category,Source,Target,Original requirement,New requirement,Notes
Regional branch,Pikachu,Raichu,Thunder Stone outside Alola,Thunder Stone,Player-controlled route
Regional branch,Pikachu,Alolan Raichu,Thunder Stone in Alola,Shiny Stone,Player-controlled route
Regional branch,Exeggcute,Exeggutor,Leaf Stone outside Alola,Leaf Stone,Player-controlled route
Regional branch,Exeggcute,Alolan Exeggutor,Leaf Stone in Alola,Sun Stone,Player-controlled route
Regional branch,Koffing,Weezing,Level 35 outside Galar,Level 35,Ordinary default
Regional branch,Koffing,Galarian Weezing,Level 35 in Galar,Shiny Stone,Player-controlled alternate
Move and regional branch,Mime Jr.,Mr. Mime,Know Mimic outside Galar,Level 32,Ordinary default
Move and regional branch,Mime Jr.,Galarian Mr. Mime,Know Mimic in Galar,Ice Stone,Player-controlled alternate
Regional branch,Quilava,Typhlosion,Level 36 outside Hisui,Level 36,Ordinary default
Regional branch,Quilava,Hisuian Typhlosion,Level 36 in Hisui,Dusk Stone,Player-controlled alternate
Regional branch,Dewott,Samurott,Level 36 outside Hisui,Level 36,Ordinary default
Regional branch,Dewott,Hisuian Samurott,Level 36 in Hisui,Dawn Stone,Player-controlled alternate
Regional branch,Petilil,Lilligant,Sun Stone outside Hisui,Sun Stone,Player-controlled route
Regional branch,Petilil,Hisuian Lilligant,Sun Stone in Hisui,Leaf Stone,Player-controlled route
Regional branch,Rufflet,Braviary,Level 54 outside Hisui,Level 54,Ordinary default
Regional branch,Rufflet,Hisuian Braviary,Level 54 in Hisui,Dawn Stone,Player-controlled alternate
Regional branch,Goomy,Sliggoo,Level 40 outside Hisui,Level 40,Ordinary default
Regional branch,Goomy,Hisuian Sliggoo,Level 40 in Hisui,Thunder Stone,Player-controlled alternate
Regional branch,Bergmite,Avalugg,Level 37 outside Hisui,Level 37,Ordinary default
Regional branch,Bergmite,Hisuian Avalugg,Level 37 in Hisui,Dusk Stone,Player-controlled alternate
Regional branch,Dartrix,Decidueye,Level 34 outside Hisui,Level 34,Ordinary default
Regional branch,Dartrix,Hisuian Decidueye,Level 36 in Hisui,Dusk Stone,Player-controlled alternate
Location,Magneton,Magnezone,Level up in New Mauville,Thunder Stone,Location route removed
Location,Nosepass,Probopass,Level up in New Mauville,Thunder Stone,Location route removed
Location,Charjabug,Vikavolt,Level up in New Mauville,Thunder Stone,Location route removed
Location,Crabrawler,Crabominable,Level up in Shoal Cave ice room,Ice Stone,Location route removed
Location,Eevee,Leafeon,Level up in Petalburg Woods,Leaf Stone,Location route removed
Location,Eevee,Glaceon,Level up in Shoal Cave ice room,Ice Stone,Location route removed
Plain trade,Kadabra,Alakazam,Trade,Linking Cord,None
Plain trade,Machoke,Machamp,Trade,Linking Cord,None
Plain trade,Graveler,Golem,Trade,Linking Cord,None
Plain trade,Alolan Graveler,Alolan Golem,Trade,Linking Cord,None
Plain trade,Haunter,Gengar,Trade,Linking Cord,None
Plain trade,Boldore,Gigalith,Trade,Linking Cord,None
Plain trade,Gurdurr,Conkeldurr,Trade,Linking Cord,None
Partner trade,Karrablast,Escavalier,Trade for Shelmet,Linking Cord,Partner requirement removed
Partner trade,Shelmet,Accelgor,Trade for Karrablast,Linking Cord,Partner requirement removed
Plain trade,Phantump,Trevenant,Trade,Linking Cord,None
Plain trade,Pumpkaboo (Average),Gourgeist (Average),Trade,Linking Cord,None
Plain trade,Pumpkaboo (Small),Gourgeist (Small),Trade,Linking Cord,None
Plain trade,Pumpkaboo (Large),Gourgeist (Large),Trade,Linking Cord,None
Plain trade,Pumpkaboo (Super),Gourgeist (Super),Trade,Linking Cord,None
Held-item trade,Poliwhirl,Politoed,Trade while holding King's Rock,Dawn Stone,None
Held-item trade,Slowpoke,Slowking,Trade while holding King's Rock,Dawn Stone,None
Held-item trade,Onix,Steelix,Trade while holding Metal Coat,Dawn Stone,None
Held-item trade,Scyther,Scizor,Trade while holding Metal Coat,Dusk Stone,Kleavor uses Leaf Stone
Held-item trade,Seadra,Kingdra,Trade while holding Dragon Scale,Water Stone,None
Held-item trade,Rhydon,Rhyperior,Trade while holding Protector,Moon Stone,None
Held-item trade,Electabuzz,Electivire,Trade while holding Electirizer,Thunder Stone,None
Held-item trade,Magmar,Magmortar,Trade while holding Magmarizer,Fire Stone,None
Held-item trade,Porygon,Porygon2,Trade while holding Upgrade,Dawn Stone,None
Held-item trade,Porygon2,Porygon-Z,Trade while holding Dubious Disc,Dusk Stone,None
Held-item trade,Feebas,Milotic,Trade while holding Prism Scale,Shiny Stone,None
Held-item trade,Dusclops,Dusknoir,Trade while holding Reaper Cloth,Dusk Stone,None
Held-item trade,Clamperl,Huntail,Trade while holding Deep Sea Tooth,Water Stone,None
Held-item trade,Clamperl,Gorebyss,Trade while holding Deep Sea Scale,Shiny Stone,None
Held-item trade,Spritzee,Aromatisse,Trade while holding Sachet,Shiny Stone,None
Held-item trade,Swirlix,Slurpuff,Trade while holding Whipped Dream,Sun Stone,None
Special item,Milcery,Strawberry Vanilla Cream Alcremie,Hold Strawberry Sweet and perform a matching spin at the correct time,Fire Stone,Player-controlled decoration
Special item,Milcery,Berry Vanilla Cream Alcremie,Hold Berry Sweet and perform a matching spin at the correct time,Water Stone,Player-controlled decoration
Special item,Milcery,Love Vanilla Cream Alcremie,Hold Love Sweet and perform a matching spin at the correct time,Shiny Stone,Player-controlled decoration
Special item,Milcery,Star Vanilla Cream Alcremie,Hold Star Sweet and perform a matching spin at the correct time,Thunder Stone,Player-controlled decoration
Special item,Milcery,Clover Vanilla Cream Alcremie,Hold Clover Sweet and perform a matching spin at the correct time,Leaf Stone,Player-controlled decoration
Special item,Milcery,Flower Vanilla Cream Alcremie,Hold Flower Sweet and perform a matching spin at the correct time,Ice Stone,Player-controlled decoration
Special item,Milcery,Ribbon Vanilla Cream Alcremie,Hold Ribbon Sweet and perform a matching spin at the correct time,Dawn Stone,Player-controlled decoration
Move,Lickitung,Lickilicky,Know Rollout,Level 30,Move requirement removed
Move,Tangela,Tangrowth,Know Ancient Power,Level 24,Move requirement removed
Move,Bonsly,Sudowoodo,Know Mimic,Level 16,Move requirement removed
Move,Aipom,Ambipom,Know Double Hit,Level 32,Move requirement removed
Move,Yanma,Yanmega,Know Ancient Power,Level 33,Move requirement removed
Move,Girafarig,Farigiraf,Know Twin Beam,Level 32,Move requirement removed
Move,Dunsparce,Dudunsparce,Know Hyper Drill,Level 32,Personality-based two-segment or three-segment result retained
Move,Hisuian Qwilfish,Overqwil,Know Barb Barrage,Level 28,Move requirement removed
Move,Piloswine,Mamoswine,Know Ancient Power,Level 34,Move requirement removed
Move,Steenee,Tsareena,Know Stomp,Level 28,Move requirement removed
Move,Poipole,Naganadel,Know Dragon Pulse,Level 40,Move requirement removed
Move,Dipplin,Hydrapple,Know Dragon Cheer,Level 40,Move requirement removed
Move,Clobbopus,Grapploct,Know Taunt,Level 35,Move requirement removed
Special item,Applin,Flapple,Tart Apple,Fire Stone,Player-controlled branch retained
Special item,Applin,Appletun,Sweet Apple,Sun Stone,Player-controlled branch retained
Special item,Applin,Dipplin,Syrupy Apple,Leaf Stone,Dipplin evolves into Hydrapple at level 40
Special item,Scyther,Kleavor,Black Augurite,Leaf Stone,Player-controlled branch retained
Special item,Galarian Slowpoke,Galarian Slowbro,Galarica Cuff,Ice Stone,Player-controlled branch retained
Special item,Galarian Slowpoke,Galarian Slowking,Galarica Wreath,Shiny Stone,Player-controlled branch retained
Special item,Phony Sinistea,Phony Polteageist,Cracked Pot,Dawn Stone,Source form preserves outcome
Special item,Antique Sinistea,Antique Polteageist,Chipped Pot,Dawn Stone,Source form preserves outcome
Special item,Kubfu,Single Strike Urshifu,Scroll of Darkness,Dusk Stone,Player-controlled branch retained
Special item,Kubfu,Rapid Strike Urshifu,Scroll of Waters,Water Stone,Player-controlled branch retained
Special item,Charcadet,Armarouge,Auspicious Armor,Sun Stone,Player-controlled branch retained
Special item,Charcadet,Ceruledge,Malicious Armor,Dusk Stone,Player-controlled branch retained
Special item,Duraludon,Archaludon,Metal Alloy,Thunder Stone,None
Special item,Counterfeit Poltchageist,Unremarkable Sinistcha,Unremarkable Teacup,Ice Stone,Source form preserves outcome
Special item,Artisan Poltchageist,Masterpiece Sinistcha,Masterpiece Teacup,Ice Stone,Source form preserves outcome
Battle counter,Galarian Farfetch'd,Sirfetch'd,Land three critical hits in one battle,Level 30,None
Party,Mantyke,Mantine,Have Remoraid in the party,Level 30,None
Move counter,Primeape,Annihilape,Use Rage Fist 20 times,Level 40,Randomized learnsets cannot guarantee Rage Fist
Move counter,Stantler,Wyrdeer,Use Psyshield Bash 20 times,Level 40,Randomized learnsets cannot guarantee Psyshield Bash
Damage counter,White-Striped Basculin,Male Basculegion,Accumulate 294 recoil damage,Level 40,Male gender condition retained
Damage counter,White-Striped Basculin,Female Basculegion,Accumulate 294 recoil damage,Level 40,Female gender condition retained
Script,Galarian Yamask,Runerigus,Accumulate 49 damage and pass beneath the Dusty Bowl arch,Level 34,Dusty Bowl script is unavailable in Emerald
Party,Pancham,Pangoro,Reach level 32 with a Dark type in the party,Level 32,None
Weather,Sliggoo,Goodra,Reach level 50 in rain or fog,Level 50,None
Weather,Hisuian Sliggoo,Hisuian Goodra,Reach level 50 in rain or fog,Level 50,Regional form retained
Battle item,Bisharp,Kingambit,Defeat three Leader's Crest Bisharp,Level 55,Leader's Crest acquisition is unavailable
Walking,Pawmo,Pawmot,Walk 1000 overworld steps,Level 30,None
Walking,Bramblin,Brambleghast,Walk 1000 overworld steps,Level 30,None
Walking,Rellor,Rabsca,Walk 1000 overworld steps,Level 30,None
Currency,Chest Form Gimmighoul,Gholdengo,Collect 999 Gimmighoul Coins,Level 50,Gimmighoul Coin acquisition is unavailable
Currency,Roaming Form Gimmighoul,Gholdengo,Collect 999 Gimmighoul Coins,Level 50,Gimmighoul Coin acquisition is unavailable
